,"Delayed Appendectomy (%, 95% CI, N)","Immediate Appendectomy (%, 95% CI, N)","Non-Surgical Management (%, 95% CI, N)","Return Emergency Appendectomy (%, 95% CI, N)",P-value (ANOVA)
Aspirin,"9.3% (6.3-12.3), 33.0","3.7% (3.4-4.0), 517.0","7.4% (5.9-8.9), 88.0","7.7% (3.5-11.9), 12.0",< 0.00001
Nicotine Dependence,"33.2% (28.3-38.2), 118.0","23.7% (23.0-24.4), 3327.0","25.9% (23.5-28.4), 308.0","27.6% (20.5-34.7), 43.0",0.00011
Alcohol-Related Disorders,"1.7% (0.3-3.0), 6.0","0.9% (0.7-1.0), 121.0","2.2% (1.4-3.0), 26.0","1.9% (-0.3-4.1), 3.0",4e-05
Antibiotic Treatment,"71.3% (66.5-76.0), 253.0","64.2% (63.4-65.0), 9031.0","51.2% (48.4-54.1), 608.0","48.1% (40.1-56.0), 75.0",< 0.00001
pregnant,"0.3% (-0.3-0.8), 1.0","0.4% (0.3-0.5), 60.0","0.4% (0.1-0.8), 5.0","0.0% (0.0-0.0), 0.0",0.8405
appendecolith,"2.3% (0.7-3.8), 8.0","0.0% (0.0-0.1), 6.0","0.4% (0.1-0.8), 5.0","3.2% (0.4-6.0), 5.0",< 0.00001
bowel obstruction,"6.2% (3.7-8.7), 22.0","3.2% (2.9-3.5), 453.0","5.0% (3.7-6.2), 59.0","10.9% (6.0-15.8), 17.0",< 0.00001
Recurrent ED Visits (# / 1000 patients),284.5 (219.7-349.3),205.3 (193.4-217.1),332.8 (285.3-380.2),1455.1 (1304.5-1605.8),< 0.00001
Repeat Hospitalizations (# / 1000 patients),363.4 (305.7-421.1),19.7 (17.1-22.3),88.5 (69.5-107.4),743.6 (640.6-846.6),< 0.00001
Cost (USD),7242.4 (6390.7-8094.1),4715.3 (4622.7-4808.0),5685.9 (4813.1-6558.8),11516.7 (9898.9-13134.5),< 0.00001
Deaths (%),"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",
Length of Stay (mean days),2.8 (2.4-3.2),2.2 (2.1-2.2),3.0 (2.8-3.3),4.1 (3.5-4.7),< 0.00001
Admitted,"30.1% (25.3-34.9), 107.0","21.0% (20.3-21.7), 2950.0","32.2% (29.5-34.8), 382.0","17.9% (11.9-24.0), 28.0",< 0.00001
Complicated,"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",
Uncomplicated,"100.0% (100.0-100.0), 355.0","100.0% (100.0-100.0), 14059.0","100.0% (100.0-100.0), 1187.0","100.0% (100.0-100.0), 156.0",
Non-Surgical Management,"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","100.0% (100.0-100.0), 1187.0","0.0% (0.0-0.0), 0.0",< 0.00001
Immediate Appendectomy,"0.0% (0.0-0.0), 0.0","100.0% (100.0-100.0), 14059.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",< 0.00001
Delayed Appendectomy,"100.0% (100.0-100.0), 355.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",< 0.00001
Return Emergency Appendectomy,"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","100.0% (100.0-100.0), 156.0",< 0.00001
Morphine on Initial Visit,"31.3% (26.4-36.1), 111.0","40.2% (39.4-41.0), 5657.0","29.5% (26.9-32.1), 350.0","24.4% (17.5-31.2), 38.0",< 0.00001
- Morphine,"68.7% (63.9-73.6), 244.0","59.8% (59.0-60.6), 8402.0","70.5% (67.9-73.1), 837.0","75.6% (68.8-82.5), 118.0",< 0.00001
Opioid on Initial Visit,"34.9% (29.9-39.9), 124.0","68.4% (67.6-69.2), 9617.0","40.6% (37.8-43.4), 482.0","33.3% (25.9-40.8), 52.0",< 0.00001
- Opioid,"65.1% (60.1-70.1), 231.0","31.6% (30.8-32.4), 4442.0","59.4% (56.6-62.2), 705.0","66.7% (59.2-74.1), 104.0",< 0.00001
New Complicated Appendicitis,"21.4% (17.1-25.7), 76.0","0.2% (0.1-0.3), 28.0","3.4% (2.3-4.4), 40.0","26.9% (19.9-34.0), 42.0",< 0.00001
No New Complicated Appendicitis,"78.6% (74.3-82.9), 279.0","99.8% (99.7-99.9), 14031.0","96.6% (95.6-97.7), 1147.0","73.1% (66.0-80.1), 114.0",< 0.00001
Immediate Appendectomy Obtained,"0.0% (0.0-0.0), 0.0","100.0% (100.0-100.0), 14059.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",< 0.00001
Initial Management Without Appendectomy,"100.0% (100.0-100.0), 355.0","0.0% (0.0-0.0), 0.0","100.0% (100.0-100.0), 1187.0","100.0% (100.0-100.0), 156.0",< 0.00001
IV Antibiotics,"46.2% (41.0-51.4), 164.0","63.6% (62.8-64.4), 8936.0","48.3% (45.4-51.1), 573.0","34.0% (26.5-41.5), 53.0",< 0.00001
No IV Antibiotics,"53.8% (48.6-59.0), 191.0","36.4% (35.6-37.2), 5123.0","51.7% (48.9-54.6), 614.0","66.0% (58.5-73.5), 103.0",< 0.00001
2016-18,"56.6% (51.4-61.8), 201.0","63.7% (62.9-64.5), 8955.0","57.2% (54.4-60.0), 679.0","58.3% (50.5-66.2), 91.0",< 0.00001
2019-21,"43.4% (38.2-48.6), 154.0","36.3% (35.5-37.1), 5104.0","42.8% (40.0-45.6), 508.0","41.7% (33.8-49.5), 65.0",< 0.00001
