,"IV Antibiotics (%, 95% CI, N)","No IV Antibiotics (%, 95% CI, N)",Difference (95% CI),P-value (Welch's T-test)
Obesity,"10.8% (8.7-12.9), 88.0","15.3% (13.0-17.7), 143.0",-4.5% (-7.7--1.4),0.00469
Hypertension,"23.1% (20.2-26.0), 188.0","33.6% (30.5-36.6), 313.0",-10.5% (-14.7--6.3),< 0.00001
Ischemic Heart Disease,"3.7% (2.4-5.0), 30.0","7.7% (6.0-9.4), 72.0",-4.0% (-6.2--1.9),0.00023
Mood Disorders,"11.8% (9.6-14.0), 96.0","15.1% (12.8-17.4), 141.0",-3.3% (-6.5--0.2),0.03999
Aspirin,"4.8% (3.3-6.3), 39.0","8.7% (6.9-10.5), 81.0",-3.9% (-6.2--1.6),0.00103
Nicotine Dependence,"22.0% (19.1-24.8), 179.0","27.9% (25.0-30.8), 260.0",-5.9% (-10.0--1.9),0.00412
Alcohol-Related Disorders,"1.2% (0.5-2.0), 10.0","1.8% (1.0-2.7), 17.0",-0.6% (-1.7-0.5),0.30689
Antibiotic Treatment,"100.0% (100.0-100.0), 815.0","10.1% (8.1-12.0), 94.0",89.9% (88.0-91.9),< 0.00001
pregnant,"0.1% (-0.1-0.4), 1.0","0.2% (-0.1-0.5), 2.0",-0.1% (-0.5-0.3),0.63766
appendecolith,"4.4% (3.0-5.8), 36.0","3.4% (2.3-4.6), 32.0",1.0% (-0.9-2.8),0.29308
bowel obstruction,"1.5% (0.6-2.3), 12.0","7.9% (6.2-9.7), 74.0",-6.5% (-8.4--4.5),< 0.00001
Recurrent ED Visits (# / 1000 patients),79.8 (60.8-98.7),129.8 (107.6-152.1),-50.1 (-79.3--20.9),0.00078
Repeat Hospitalizations (# / 1000 patients),125.2 (101.6-148.7),156.7 (132.3-181.0),-31.5 (-65.3-2.3),0.06775
Cost (USD),2584.5 (2293.9-2875.0),8174.8 (7122.9-9226.8),-5590.4 (-6681.5--4499.2),< 0.00001
Deaths (%),"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Length of Stay (mean days),1.7 (1.6-1.8),3.4 (3.1-3.7),-1.7 (-2.0--1.4),< 0.00001
Admitted,"0.0% (0.0-0.0), 0.0","57.5% (54.3-60.7), 536.0",-57.5% (-60.7--54.3),< 0.00001
Complicated,"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Uncomplicated,"100.0% (100.0-100.0), 815.0","100.0% (100.0-100.0), 932.0",0.0% (nan-nan),
Non-Surgical Management,"75.7% (72.8-78.7), 617.0","73.0% (70.1-75.8), 680.0",2.7% (-1.4-6.8),0.18989
Immediate Appendectomy,"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Delayed Appendectomy,"18.0% (15.4-20.7), 147.0","16.8% (14.4-19.3), 157.0",1.2% (-2.4-4.8),0.51336
Return Emergency Appendectomy,"6.3% (4.6-7.9), 51.0","10.2% (8.2-12.1), 95.0",-3.9% (-6.5--1.4),0.00261
Morphine on Initial Visit,"52.9% (49.4-56.3), 431.0","9.3% (7.5-11.2), 87.0",43.5% (39.6-47.5),< 0.00001
- Morphine,"47.1% (43.7-50.6), 384.0","90.7% (88.8-92.5), 845.0",-43.5% (-47.5--39.6),< 0.00001
Opioid on Initial Visit,"68.1% (64.9-71.3), 555.0","13.4% (11.2-15.6), 125.0",54.7% (50.8-58.6),< 0.00001
- Opioid,"31.9% (28.7-35.1), 260.0","86.6% (84.4-88.8), 807.0",-54.7% (-58.6--50.8),< 0.00001
New Complicated Appendicitis,"6.7% (5.0-8.5), 55.0","8.8% (7.0-10.6), 82.0",-2.0% (-4.6-0.5),0.1091
No New Complicated Appendicitis,"93.3% (91.5-95.0), 760.0","91.2% (89.4-93.0), 850.0",2.0% (-0.5-4.6),0.1091
Immediate Appendectomy Obtained,"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",0.0% (nan-nan),
Initial Management Without Appendectomy,"100.0% (100.0-100.0), 815.0","100.0% (100.0-100.0), 932.0",0.0% (nan-nan),
IV Antibiotics,"100.0% (100.0-100.0), 815.0","0.0% (0.0-0.0), 0.0",100.0% (nan-nan),< 0.00001
No IV Antibiotics,"0.0% (0.0-0.0), 0.0","100.0% (100.0-100.0), 932.0",-100.0% (nan-nan),< 0.00001
2016-18,"42.8% (39.4-46.2), 349.0","69.7% (66.8-72.7), 650.0",-26.9% (-31.4--22.4),< 0.00001
2019-21,"57.2% (53.8-60.6), 466.0","30.3% (27.3-33.2), 282.0",26.9% (22.4-31.4),< 0.00001
