,"Delayed Appendectomy (%, 95% CI, N)","Immediate Appendectomy (%, 95% CI, N)","Non-Surgical Management (%, 95% CI, N)","Return Emergency Appendectomy (%, 95% CI, N)",P-value (ANOVA)
Nicotine Dependence,"31.2% (26.0-36.5), 95.0","22.9% (22.2-23.6), 3329.0","23.5% (21.2-25.8), 305.0","26.7% (19.5-34.0), 39.0",0.00472
Alcohol-Related Disorders,"1.3% (0.0-2.6), 4.0","0.7% (0.6-0.8), 101.0","1.5% (0.9-2.2), 20.0","2.1% (-0.3-4.4), 3.0",0.00165
Antibiotic Treatment,"70.7% (65.6-75.9), 215.0","63.5% (62.7-64.2), 9235.0","48.2% (45.5-50.9), 625.0","47.3% (39.1-55.5), 69.0",< 0.00001
pregnant,"0.0% (0.0-0.0), 0.0","0.1% (0.1-0.2), 16.0","0.2% (-0.0-0.5), 3.0","0.0% (0.0-0.0), 0.0",0.56298
appendecolith,"3.3% (1.3-5.3), 10.0","3.4% (3.1-3.7), 490.0","3.9% (2.8-4.9), 50.0","5.5% (1.7-9.2), 8.0",0.43159
bowel obstruction,"4.9% (2.5-7.4), 15.0","2.8% (2.6-3.1), 411.0","4.5% (3.3-5.6), 58.0","8.9% (4.2-13.6), 13.0",< 0.00001
Recurrent ED Visits (# / 1000 patients),32.9 (12.7-53.1),8.0 (6.5-9.4),20.0 (12.4-27.7),1027.4 (1000.6-1054.2),< 0.00001
Repeat Hospitalizations (# / 1000 patients),328.9 (274.3-383.6),0.5 (0.1-0.8),38.6 (27.2-49.9),671.2 (589.5-753.0),< 0.00001
Cost (USD),6702.3 (5866.3-7538.2),4182.7 (4108.6-4256.9),4815.6 (4060.4-5570.7),9876.6 (8668.3-11084.9),< 0.00001
Deaths (%),"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",
Length of Stay (mean days),2.6 (2.2-3.0),1.9 (1.8-1.9),2.5 (2.3-2.8),3.4 (2.9-3.9),< 0.00001
Admitted,"27.3% (22.3-32.3), 83.0","21.3% (20.6-22.0), 3100.0","33.1% (30.5-35.6), 429.0","16.4% (10.4-22.5), 24.0",< 0.00001
Complicated,"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",
Uncomplicated,"100.0% (100.0-100.0), 304.0","100.0% (100.0-100.0), 14551.0","100.0% (100.0-100.0), 1297.0","100.0% (100.0-100.0), 146.0",
Non-Surgical Management,"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","100.0% (100.0-100.0), 1297.0","0.0% (0.0-0.0), 0.0",< 0.00001
Immediate Appendectomy,"0.0% (0.0-0.0), 0.0","100.0% (100.0-100.0), 14551.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",< 0.00001
Delayed Appendectomy,"100.0% (100.0-100.0), 304.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",< 0.00001
Return Emergency Appendectomy,"0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0","100.0% (100.0-100.0), 146.0",< 0.00001
Morphine on Initial Visit,"34.2% (28.8-39.6), 104.0","40.2% (39.4-41.0), 5848.0","29.1% (26.7-31.6), 378.0","24.7% (17.6-31.7), 36.0",< 0.00001
- Morphine,"65.8% (60.4-71.2), 200.0","59.8% (59.0-60.6), 8703.0","70.9% (68.4-73.3), 919.0","75.3% (68.3-82.4), 110.0",< 0.00001
Opioid on Initial Visit,"38.5% (33.0-44.0), 117.0","68.0% (67.3-68.8), 9897.0","39.7% (37.0-42.4), 515.0","32.9% (25.2-40.6), 48.0",< 0.00001
- Opioid,"61.5% (56.0-67.0), 187.0","32.0% (31.2-32.7), 4654.0","60.3% (57.6-63.0), 782.0","67.1% (59.4-74.8), 98.0",< 0.00001
New Complicated Appendicitis,"22.0% (17.4-26.7), 67.0","0.1% (0.1-0.2), 21.0","2.6% (1.8-3.5), 34.0","24.7% (17.6-31.7), 36.0",< 0.00001
No New Complicated Appendicitis,"78.0% (73.3-82.6), 237.0","99.9% (99.8-99.9), 14530.0","97.4% (96.5-98.2), 1263.0","75.3% (68.3-82.4), 110.0",< 0.00001
Immediate Appendectomy Obtained,"0.0% (0.0-0.0), 0.0","100.0% (100.0-100.0), 14551.0","0.0% (0.0-0.0), 0.0","0.0% (0.0-0.0), 0.0",< 0.00001
Initial Management Without Appendectomy,"100.0% (100.0-100.0), 304.0","0.0% (0.0-0.0), 0.0","100.0% (100.0-100.0), 1297.0","100.0% (100.0-100.0), 146.0",< 0.00001
IV Antibiotics,"48.4% (42.7-54.0), 147.0","63.4% (62.6-64.2), 9227.0","47.6% (44.8-50.3), 617.0","34.9% (27.1-42.8), 51.0",< 0.00001
No IV Antibiotics,"51.6% (46.0-57.3), 157.0","36.6% (35.8-37.4), 5324.0","52.4% (49.7-55.2), 680.0","65.1% (57.2-72.9), 95.0",< 0.00001
2016-18,"53.6% (48.0-59.3), 163.0","63.5% (62.7-64.2), 9234.0","57.8% (55.1-60.5), 750.0","58.9% (50.8-67.0), 86.0",< 0.00001
2019-21,"46.4% (40.7-52.0), 141.0","36.5% (35.8-37.3), 5317.0","42.2% (39.5-44.9), 547.0","41.1% (33.0-49.2), 60.0",< 0.00001
