,"Immediate Cholecystectomy Obtained (%, 95% CI, N)","Initial Management Without Cholecystectomy (%, 95% CI, N)",Difference (95% CI),P-value (Welch's T-test)
Delayed,"0.0% (0.0, 0.0), 0.0","27.8% (26.1, 29.5), 772.0","-27.8% (-29.5%, -26.1%)",< 0.00001
No Surgery,"0.0% (0.0, 0.0), 0.0","66.1% (64.3, 67.8), 1834.0","-66.1% (-67.8%, -64.3%)",< 0.00001
Obtained Surgery,"100.0% (100.0, 100.0), 5975.0","33.9% (32.2, 35.7), 942.0","66.1% (64.3%, 67.8%)",< 0.00001
Did Not Obtain Surgery,"0.0% (0.0, 0.0), 0.0","66.1% (64.3, 67.8), 1834.0","-66.1% (-67.8%, -64.3%)",< 0.00001
New Cholecystitis,"1.0% (0.8, 1.3), 61.0","36.7% (34.9, 38.5), 1019.0","-35.7% (-37.5%, -33.9%)",< 0.00001
No New Cholecystitis,"99.0% (98.7, 99.2), 5914.0","63.3% (61.5, 65.1), 1757.0","35.7% (33.9%, 37.5%)",< 0.00001
Immediate Cholecystectomy Obtained,"100.0% (100.0, 100.0), 5975.0","0.0% (0.0, 0.0), 0.0","100.0% (nan%, nan%)",< 0.00001
Initial Management Without Cholecystectomy,"0.0% (0.0, 0.0), 0.0","100.0% (100.0, 100.0), 2776.0","-100.0% (nan%, nan%)",< 0.00001
Ambulatory Cholecystectomy,"0.0% (0.0, 0.0), 0.0","24.4% (22.8, 25.9), 676.0","-24.4% (-25.9%, -22.8%)",< 0.00001
Non-Ambulatory Cholecystectomy,"0.0% (0.0, 0.0), 0.0","0.0% (0.0, 0.0), 0.0","0.0% (nan%, nan%)",
