,"Admitted (%, 95% CI, N)","Not Admitted (%, 95% CI, N)",Difference (95% CI),P-value (Welch's T-test)
Complicated,"100.0% (100.0, 100.0), 7595.0","100.0% (100.0, 100.0), 1156.0","0.0% (nan%, nan%)",
Uncomplicated,"0.0% (0.0, 0.0), 0.0","0.0% (0.0, 0.0), 0.0","0.0% (nan%, nan%)",
Immediate,"78.7% (77.7, 79.6), 5975.0","0.0% (0.0, 0.0), 0.0","78.7% (77.7%, 79.6%)",< 0.00001
Return Emergency,"0.8% (0.6, 1.0), 62.0","9.3% (7.7, 11.0), 108.0","-8.5% (-10.2%, -6.8%)",< 0.00001
Delayed,"5.3% (4.8, 5.8), 400.0","32.2% (29.5, 34.9), 372.0","-26.9% (-29.7%, -24.2%)",< 0.00001
No Surgery,"15.2% (14.4, 16.1), 1158.0","58.5% (55.6, 61.3), 676.0","-43.2% (-46.2%, -40.3%)",< 0.00001
Obtained Surgery,"84.8% (83.9, 85.6), 6437.0","41.5% (38.7, 44.4), 480.0","43.2% (40.3%, 46.2%)",< 0.00001
Did Not Obtain Surgery,"15.2% (14.4, 16.1), 1158.0","58.5% (55.6, 61.3), 676.0","-43.2% (-46.2%, -40.3%)",< 0.00001
New Cholecystitis,"7.5% (6.9, 8.0), 566.0","44.5% (41.6, 47.3), 514.0","-37.0% (-39.9%, -34.1%)",< 0.00001
No New Cholecystitis,"92.5% (92.0, 93.1), 7029.0","55.5% (52.7, 58.4), 642.0","37.0% (34.1%, 39.9%)",< 0.00001
Immediate Cholecystectomy Obtained,"78.7% (77.7, 79.6), 5975.0","0.0% (0.0, 0.0), 0.0","78.7% (77.7%, 79.6%)",< 0.00001
Initial Management Without Cholecystectomy,"21.3% (20.4, 22.3), 1620.0","100.0% (100.0, 100.0), 1156.0","-78.7% (-79.6%, -77.7%)",< 0.00001
Ambulatory Cholecystectomy,"4.2% (3.8, 4.7), 322.0","30.6% (28.0, 33.3), 354.0","-26.4% (-29.1%, -23.7%)",< 0.00001
Non-Ambulatory Cholecystectomy,"0.0% (0.0, 0.0), 0.0","0.0% (0.0, 0.0), 0.0","0.0% (nan%, nan%)",
